,loss,mae,mean_q,mean_eps,episode_reward,nb_episode_steps,nb_steps,episode,duration
0,0,0,0,0,150.0,646,646,0,1.3296864
1, 0, 0, 0, 0, 500.0, 1475, 2121, 1, 2.8990621999999995
2, 0, 0, 0, 0, 55.0, 366, 2487, 2, 0.7959063000000004
3, 0, 0, 0, 0, 195.0, 1032, 3519, 3, 2.0758328000000006
4, 0, 0, 0, 0, 130.0, 602, 4121, 4, 1.2408152000000001
5, 0, 0, 0, 0, 110.0, 544, 4665, 5, 1.193445999999998
6, 0, 0, 0, 0, 210.0, 963, 5628, 6, 2.018979699999999
7, 0, 0, 0, 0, 120.0, 642, 6270, 7, 1.3073863999999986
8, 0, 0, 0, 0, 135.0, 704, 6974, 8, 1.5490023000000015
9, 0, 0, 0, 0, 30.0, 487, 7461, 9, 1.0603686000000003
10, 0, 0, 0, 0, 105.0, 580, 8041, 10, 1.1972770999999973
11, 0, 0, 0, 0, 160.0, 760, 8801, 11, 1.6869236999999977
12, 0, 0, 0, 0, 85.0, 637, 9438, 12, 1.357285300000001
13, 0, 0, 0, 0, 230.0, 952, 10390, 13, 1.9414113999999998
14, 0, 0, 0, 0, 105.0, 633, 11023, 14, 1.3519574000000034
15, 0, 0, 0, 0, 155.0, 799, 11822, 15, 1.6407558000000009
16, 0, 0, 0, 0, 155.0, 643, 12465, 16, 1.2753937999999962
17, 0, 0, 0, 0, 75.0, 502, 12967, 17, 1.0278582000000043
18, 0, 0, 0, 0, 155.0, 798, 13765, 18, 1.6358511000000036
19, 0, 0, 0, 0, 30.0, 423, 14188, 19, 0.8723024000000024
20, 0, 0, 0, 0, 30.0, 526, 14714, 20, 1.0554927999999961
21, 0, 0, 0, 0, 35.0, 532, 15246, 21, 1.112836999999999
22, 0, 0, 0, 0, 230.0, 922, 16168, 22, 1.8742362999999997
23, 0, 0, 0, 0, 320.0, 769, 16937, 23, 1.555806099999998
24, 0, 0, 0, 0, 200.0, 955, 17892, 24, 1.9462803999999991
25, 0, 0, 0, 0, 260.0, 927, 18819, 25, 1.867226500000001
26, 0, 0, 0, 0, 20.0, 448, 19267, 26, 0.9301817999999997
27, 0, 0, 0, 0, 280.0, 960, 20227, 27, 1.938581400000004
28, 0, 0, 0, 0, 105.0, 828, 21055, 28, 1.6572968000000046
29, 0, 0, 0, 0, 110.0, 503, 21558, 29, 1.0363120000000023
30, 0, 0, 0, 0, 135.0, 721, 22279, 30, 1.459700600000005
31, 0, 0, 0, 0, 45.0, 406, 22685, 31, 0.8384697999999986
32, 0, 0, 0, 0, 290.0, 1227, 23912, 32, 2.3697447999999994
33, 0, 0, 0, 0, 110.0, 759, 24671, 33, 1.5045319000000035
34, 0, 0, 0, 0, 210.0, 825, 25496, 34, 1.6129587
35, 0, 0, 0, 0, 135.0, 649, 26145, 35, 1.3228712999999956
36, 0, 0, 0, 0, 265.0, 916, 27061, 36, 1.8579323000000016
37, 0, 0, 0, 0, 335.0, 756, 27817, 37, 1.5143984000000046
38, 0, 0, 0, 0, 55.0, 575, 28392, 38, 1.1870353000000051
39, 0, 0, 0, 0, 165.0, 703, 29095, 39, 1.4491196999999971
40, 0, 0, 0, 0, 440.0, 953, 30048, 40, 1.9257664000000005
41, 0, 0, 0, 0, 140.0, 821, 30869, 41, 1.647843199999997
42, 0, 0, 0, 0, 100.0, 387, 31256, 42, 0.791945300000009
43, 0, 0, 0, 0, 105.0, 719, 31975, 43, 1.4501702000000023
44, 0, 0, 0, 0, 205.0, 886, 32861, 44, 1.7887580999999955
45, 0, 0, 0, 0, 105.0, 610, 33471, 45, 1.2689017000000007
46, 0, 0, 0, 0, 210.0, 642, 34113, 46, 1.3073591999999934
47, 0, 0, 0, 0, 80.0, 507, 34620, 47, 1.0462288000000086
48, 0, 0, 0, 0, 50.0, 391, 35011, 48, 0.8185253999999986
49, 0, 0, 0, 0, 210.0, 908, 35919, 49, 1.8376537999999982
50, 0, 0, 0, 0, 135.0, 654, 36573, 50, 1.3257036999999912
51, 0, 0, 0, 0, 105.0, 733, 37306, 51, 1.4858562000000006
52, 0, 0, 0, 0, 210.0, 808, 38114, 52, 1.6357069999999965
53, 0, 0, 0, 0, 105.0, 722, 38836, 53, 1.4953055999999947
54, 0, 0, 0, 0, 135.0, 790, 39626, 54, 1.5930689000000058
55, 0, 0, 0, 0, 120.0, 503, 40129, 55, 1.043197400000011
56, 0, 0, 0, 0, 155.0, 783, 40912, 56, 1.5801905000000005
57, 0, 0, 0, 0, 135.0, 692, 41604, 57, 1.4433425
58, 0, 0, 0, 0, 155.0, 785, 42389, 58, 1.5796830000000028
59, 0, 0, 0, 0, 355.0, 790, 43179, 59, 1.6331643999999983
60, 0, 0, 0, 0, 80.0, 383, 43562, 60, 0.8004096000000089
61, 0, 0, 0, 0, 410.0, 1452, 45014, 61, 2.9072519999999997
62, 0, 0, 0, 0, 165.0, 770, 45784, 62, 1.5798789000000113
63, 0, 0, 0, 0, 215.0, 904, 46688, 63, 1.8490635999999938
64, 0, 0, 0, 0, 55.0, 391, 47079, 64, 0.8221008999999952
65, 0, 0, 0, 0, 310.0, 652, 47731, 65, 1.3321016000000014
66, 0, 0, 0, 0, 45.0, 474, 48205, 66, 0.9759391999999991
67, 0, 0, 0, 0, 110.0, 737, 48942, 67, 1.5062654000000038
68, 0, 0, 0, 0, 95.0, 607, 49549, 68, 1.2530972999999932
69, 0, 0, 0, 0, 180.0, 873, 50422, 69, 1.7829394999999977
70, 0, 0, 0, 0, 210.0, 811, 51233, 70, 1.6947731000000061
71, 0, 0, 0, 0, 380.0, 837, 52070, 71, 1.711193200000011
72, 0, 0, 0, 0, 195.0, 999, 53069, 72, 2.0426430999999923
73, 0, 0, 0, 0, 155.0, 823, 53892, 73, 1.663291799999996
74, 0, 0, 0, 0, 180.0, 803, 54695, 74, 1.6086230999999884
75, 0, 0, 0, 0, 210.0, 838, 55533, 75, 1.7236263999999863
76, 0, 0, 0, 0, 320.0, 1404, 56937, 76, 2.755211099999997
77, 0, 0, 0, 0, 100.0, 570, 57507, 77, 1.1485224999999986
78, 0, 0, 0, 0, 110.0, 618, 58125, 78, 1.2812719000000072
79, 0, 0, 0, 0, 75.0, 633, 58758, 79, 1.2878987999999936
80, 0, 0, 0, 0, 210.0, 750, 59508, 80, 1.540970299999998
81, 0, 0, 0, 0, 180.0, 509, 60017, 81, 1.0474863999999968
82, 0, 0, 0, 0, 180.0, 851, 60868, 82, 1.7284434999999974
83, 0, 0, 0, 0, 50.0, 403, 61271, 83, 0.8226980000000026
84, 0, 0, 0, 0, 135.0, 584, 61855, 84, 1.2134042000000136
85, 0, 0, 0, 0, 50.0, 616, 62471, 85, 1.2629527999999937
86, 0, 0, 0, 0, 215.0, 809, 63280, 86, 1.6724968000000047
87, 0, 0, 0, 0, 105.0, 688, 63968, 87, 1.4300096999999994
88, 0, 0, 0, 0, 80.0, 419, 64387, 88, 0.8640488000000062
89, 0, 0, 0, 0, 445.0, 923, 65310, 89, 1.8756389999999783
90, 0, 0, 0, 0, 105.0, 506, 65816, 90, 1.0662073999999961
91, 0, 0, 0, 0, 285.0, 915, 66731, 91, 1.8753580999999997
92, 0, 0, 0, 0, 135.0, 496, 67227, 92, 1.0378030999999908
93, 0, 0, 0, 0, 355.0, 804, 68031, 93, 1.6370712000000083
94, 0, 0, 0, 0, 105.0, 397, 68428, 94, 0.8389880999999946
95, 0, 0, 0, 0, 145.0, 775, 69203, 95, 1.5793362000000002
96, 0, 0, 0, 0, 110.0, 618, 69821, 96, 1.2932708000000162
97, 0, 0, 0, 0, 110.0, 627, 70448, 97, 1.3083047000000079
98, 0, 0, 0, 0, 180.0, 787, 71235, 98, 1.6413451999999893
99, 0, 0, 0, 0, 235.0, 915, 72150, 99, 1.8476782999999841
100, 0, 0, 0, 0, 415.0, 914, 73064, 100, 1.8250969000000055
101, 0, 0, 0, 0, 105.0, 617, 73681, 101, 1.2682929000000058
102, 0, 0, 0, 0, 120.0, 639, 74320, 102, 1.318524300000007
103, 0, 0, 0, 0, 135.0, 771, 75091, 103, 1.5478501000000051
104, 0, 0, 0, 0, 110.0, 661, 75752, 104, 1.3440549000000033
105, 0, 0, 0, 0, 110.0, 770, 76522, 105, 1.5684737999999925
106, 0, 0, 0, 0, 155.0, 793, 77315, 106, 1.600158599999986
107, 0, 0, 0, 0, 105.0, 641, 77956, 107, 1.3278507999999931
