,loss,mae,mean_q,mean_eps,episode_reward,nb_episode_steps,nb_steps,episode,duration
0,0,0,0,0,85.0,508,508,0,1.1452660999999988
1, 0, 0, 0, 0, 440.0, 1256, 1764, 1, 2.6489495000000005
2, 0, 0, 0, 0, 125.0, 659, 2423, 2, 1.4248695999999992
3, 0, 0, 0, 0, 415.0, 1275, 3698, 3, 2.5217646999999985
4, 0, 0, 0, 0, 110.0, 719, 4417, 4, 1.4387085000000006
5, 0, 0, 0, 0, 160.0, 661, 5078, 5, 1.3509305000000005
6, 0, 0, 0, 0, 50.0, 509, 5587, 6, 1.038617200000001
7, 0, 0, 0, 0, 230.0, 914, 6501, 7, 1.9063601000000006
8, 0, 0, 0, 0, 65.0, 380, 6881, 8, 0.7935032
9, 0, 0, 0, 0, 120.0, 506, 7387, 9, 1.0387002999999986
10, 0, 0, 0, 0, 210.0, 754, 8141, 10, 1.5166277000000008
11, 0, 0, 0, 0, 120.0, 585, 8726, 11, 1.1935386000000001
12, 0, 0, 0, 0, 120.0, 751, 9477, 12, 1.5362496000000014
13, 0, 0, 0, 0, 50.0, 369, 9846, 13, 0.7681112999999975
14, 0, 0, 0, 0, 125.0, 583, 10429, 14, 1.1824604999999977
15, 0, 0, 0, 0, 30.0, 364, 10793, 15, 0.7574597999999995
16, 0, 0, 0, 0, 110.0, 513, 11306, 16, 1.0587505000000021
17, 0, 0, 0, 0, 110.0, 492, 11798, 17, 1.0134016000000017
18, 0, 0, 0, 0, 60.0, 531, 12329, 18, 1.099041200000002
19, 0, 0, 0, 0, 50.0, 409, 12738, 19, 0.8523959999999988
20, 0, 0, 0, 0, 140.0, 858, 13596, 20, 1.7266125000000017
21, 0, 0, 0, 0, 80.0, 522, 14118, 21, 1.0696579000000028
22, 0, 0, 0, 0, 80.0, 440, 14558, 22, 0.9186461999999977
23, 0, 0, 0, 0, 210.0, 786, 15344, 23, 1.5894560999999996
24, 0, 0, 0, 0, 210.0, 815, 16159, 24, 1.6437083000000001
25, 0, 0, 0, 0, 35.0, 438, 16597, 25, 0.9008676999999992
26, 0, 0, 0, 0, 60.0, 371, 16968, 26, 0.7733131000000029
27, 0, 0, 0, 0, 615.0, 1193, 18161, 27, 2.388052199999997
28, 0, 0, 0, 0, 135.0, 719, 18880, 28, 1.4584292999999988
29, 0, 0, 0, 0, 180.0, 819, 19699, 29, 1.6486878999999988
30, 0, 0, 0, 0, 185.0, 972, 20671, 30, 1.961247499999999
31, 0, 0, 0, 0, 110.0, 621, 21292, 31, 1.2611187999999984
32, 0, 0, 0, 0, 20.0, 456, 21748, 32, 0.9333767000000037
33, 0, 0, 0, 0, 100.0, 392, 22140, 33, 0.8339783999999995
34, 0, 0, 0, 0, 55.0, 511, 22651, 34, 1.0495687999999959
35, 0, 0, 0, 0, 385.0, 732, 23383, 35, 1.5198903000000001
36, 0, 0, 0, 0, 55.0, 398, 23781, 36, 0.8164517000000018
37, 0, 0, 0, 0, 20.0, 418, 24199, 37, 0.8585867999999977
38, 0, 0, 0, 0, 20.0, 481, 24680, 38, 0.9807142000000013
39, 0, 0, 0, 0, 230.0, 868, 25548, 39, 1.7306662000000017
40, 0, 0, 0, 0, 155.0, 727, 26275, 40, 1.477316800000004
41, 0, 0, 0, 0, 135.0, 675, 26950, 41, 1.3661670999999984
42, 0, 0, 0, 0, 215.0, 843, 27793, 42, 1.6991881999999947
43, 0, 0, 0, 0, 35.0, 397, 28190, 43, 0.8315637999999979
44, 0, 0, 0, 0, 210.0, 902, 29092, 44, 1.8118555000000072
45, 0, 0, 0, 0, 135.0, 745, 29837, 45, 1.5156432999999936
46, 0, 0, 0, 0, 140.0, 736, 30573, 46, 1.5007944000000037
47, 0, 0, 0, 0, 380.0, 1353, 31926, 47, 2.657412899999997
48, 0, 0, 0, 0, 135.0, 491, 32417, 48, 0.9999605999999943
49, 0, 0, 0, 0, 215.0, 1003, 33420, 49, 2.0178863999999948
50, 0, 0, 0, 0, 425.0, 836, 34256, 50, 1.6743945000000053
51, 0, 0, 0, 0, 195.0, 744, 35000, 51, 1.538746500000002
52, 0, 0, 0, 0, 60.0, 470, 35470, 52, 0.9673930999999953
53, 0, 0, 0, 0, 190.0, 763, 36233, 53, 1.5728201000000013
54, 0, 0, 0, 0, 185.0, 596, 36829, 54, 1.2149933000000033
55, 0, 0, 0, 0, 230.0, 625, 37454, 55, 1.276516700000002
56, 0, 0, 0, 0, 140.0, 553, 38007, 56, 1.1354544000000004
57, 0, 0, 0, 0, 130.0, 973, 38980, 57, 1.9512047999999993
58, 0, 0, 0, 0, 80.0, 399, 39379, 58, 0.8318670000000026
59, 0, 0, 0, 0, 210.0, 798, 40177, 59, 1.6435490000000073
60, 0, 0, 0, 0, 100.0, 576, 40753, 60, 1.1768788999999913
61, 0, 0, 0, 0, 120.0, 478, 41231, 61, 0.9789808999999963
62, 0, 0, 0, 0, 75.0, 608, 41839, 62, 1.2475017000000008
63, 0, 0, 0, 0, 120.0, 558, 42397, 63, 1.1283493999999905
64, 0, 0, 0, 0, 135.0, 642, 43039, 64, 1.3282692000000083
65, 0, 0, 0, 0, 70.0, 548, 43587, 65, 1.1386427000000054
66, 0, 0, 0, 0, 125.0, 519, 44106, 66, 1.0546561999999966
67, 0, 0, 0, 0, 145.0, 905, 45011, 67, 1.8335487000000086
68, 0, 0, 0, 0, 50.0, 385, 45396, 68, 0.7947020000000009
69, 0, 0, 0, 0, 45.0, 646, 46042, 69, 1.3219477000000097
70, 0, 0, 0, 0, 150.0, 814, 46856, 70, 1.6543537999999955
71, 0, 0, 0, 0, 340.0, 1024, 47880, 71, 2.073396299999999
72, 0, 0, 0, 0, 290.0, 815, 48695, 72, 1.6762019000000095
73, 0, 0, 0, 0, 135.0, 600, 49295, 73, 1.2277533999999974
74, 0, 0, 0, 0, 125.0, 463, 49758, 74, 0.9547641999999996
75, 0, 0, 0, 0, 250.0, 1046, 50804, 75, 2.0910372000000024
76, 0, 0, 0, 0, 125.0, 667, 51471, 76, 1.3578061000000048
77, 0, 0, 0, 0, 105.0, 630, 52101, 77, 1.3064911000000023
78, 0, 0, 0, 0, 165.0, 644, 52745, 78, 1.312175499999995
79, 0, 0, 0, 0, 145.0, 958, 53703, 79, 1.9222078999999894
80, 0, 0, 0, 0, 210.0, 699, 54402, 80, 1.4559466999999984
81, 0, 0, 0, 0, 370.0, 939, 55341, 81, 1.8841305999999918
82, 0, 0, 0, 0, 65.0, 613, 55954, 82, 1.2590821999999946
83, 0, 0, 0, 0, 30.0, 337, 56291, 83, 0.7075370000000021
84, 0, 0, 0, 0, 80.0, 550, 56841, 84, 1.1194785999999937
85, 0, 0, 0, 0, 180.0, 641, 57482, 85, 1.3131271000000027
86, 0, 0, 0, 0, 120.0, 623, 58105, 86, 1.2752411999999822
87, 0, 0, 0, 0, 490.0, 1242, 59347, 87, 2.4743351999999845
88, 0, 0, 0, 0, 50.0, 392, 59739, 88, 0.8265590000000032
89, 0, 0, 0, 0, 55.0, 467, 60206, 89, 0.9507138000000168
90, 0, 0, 0, 0, 215.0, 1012, 61218, 90, 2.0234793000000195
91, 0, 0, 0, 0, 180.0, 543, 61761, 91, 1.1065333999999893
92, 0, 0, 0, 0, 500.0, 944, 62705, 92, 1.8933590999999979
93, 0, 0, 0, 0, 85.0, 543, 63248, 93, 1.1226522999999986
94, 0, 0, 0, 0, 185.0, 516, 63764, 94, 1.0632393000000206
95, 0, 0, 0, 0, 230.0, 850, 64614, 95, 1.7022533000000237
96, 0, 0, 0, 0, 125.0, 580, 65194, 96, 1.2004911999999877
97, 0, 0, 0, 0, 110.0, 665, 65859, 97, 1.352304299999986
98, 0, 0, 0, 0, 65.0, 402, 66261, 98, 0.8364117000000135
99, 0, 0, 0, 0, 85.0, 548, 66809, 99, 1.1220744000000025
100, 0, 0, 0, 0, 200.0, 918, 67727, 100, 1.8334407000000112
