,loss,mae,mean_q,mean_eps,episode_reward,nb_episode_steps,nb_steps,episode,duration
0,0,0,0,0,65.0,504,504,0,1.0270811999999996
1, 0, 0, 0, 0, 35.0, 376, 880, 1, 0.7690089000000011
2, 0, 0, 0, 0, 95.0, 730, 1610, 2, 1.4291491
3, 0, 0, 0, 0, 380.0, 710, 2320, 3, 1.6148490000000013
4, 0, 0, 0, 0, 80.0, 613, 2933, 4, 1.4578118
5, 0, 0, 0, 0, 210.0, 729, 3662, 5, 1.6269946000000015
6, 0, 0, 0, 0, 45.0, 409, 4071, 6, 0.8093441000000006
7, 0, 0, 0, 0, 240.0, 919, 4990, 7, 1.8117005000000006
8, 0, 0, 0, 0, 65.0, 507, 5497, 8, 1.0499296999999999
9, 0, 0, 0, 0, 105.0, 502, 5999, 9, 1.0573845000000013
10, 0, 0, 0, 0, 105.0, 636, 6635, 10, 1.3177104000000028
11, 0, 0, 0, 0, 160.0, 816, 7451, 11, 1.8031365999999984
12, 0, 0, 0, 0, 35.0, 529, 7980, 12, 1.1730313999999993
13, 0, 0, 0, 0, 45.0, 399, 8379, 13, 0.8536713999999996
14, 0, 0, 0, 0, 80.0, 759, 9138, 14, 1.6561568999999992
15, 0, 0, 0, 0, 335.0, 810, 9948, 15, 1.7490251000000008
16, 0, 0, 0, 0, 55.0, 384, 10332, 16, 0.7720570000000002
17, 0, 0, 0, 0, 285.0, 990, 11322, 17, 1.9140168000000024
18, 0, 0, 0, 0, 110.0, 470, 11792, 18, 1.0720719000000045
19, 0, 0, 0, 0, 45.0, 615, 12407, 19, 1.2597358000000014
20, 0, 0, 0, 0, 75.0, 637, 13044, 20, 1.3841014999999999
21, 0, 0, 0, 0, 240.0, 948, 13992, 21, 2.017197799999998
22, 0, 0, 0, 0, 215.0, 938, 14930, 22, 1.896167400000003
23, 0, 0, 0, 0, 65.0, 450, 15380, 23, 0.9133642999999978
24, 0, 0, 0, 0, 105.0, 693, 16073, 24, 1.4729316999999966
25, 0, 0, 0, 0, 120.0, 588, 16661, 25, 1.2319387000000006
26, 0, 0, 0, 0, 160.0, 711, 17372, 26, 1.522137100000002
27, 0, 0, 0, 0, 45.0, 590, 17962, 27, 1.2536189999999934
28, 0, 0, 0, 0, 120.0, 691, 18653, 28, 1.625056899999997
29, 0, 0, 0, 0, 125.0, 772, 19425, 29, 1.807862
30, 0, 0, 0, 0, 90.0, 558, 19983, 30, 1.1419657
31, 0, 0, 0, 0, 105.0, 566, 20549, 31, 1.131690600000006
32, 0, 0, 0, 0, 210.0, 562, 21111, 32, 1.126509800000001
33, 0, 0, 0, 0, 160.0, 713, 21824, 33, 1.5919904000000002
34, 0, 0, 0, 0, 105.0, 483, 22307, 34, 1.0985786999999974
35, 0, 0, 0, 0, 210.0, 732, 23039, 35, 1.596006299999999
36, 0, 0, 0, 0, 35.0, 411, 23450, 36, 0.9171733000000017
37, 0, 0, 0, 0, 160.0, 723, 24173, 37, 1.4461915999999988
38, 0, 0, 0, 0, 135.0, 800, 24973, 38, 1.5520071999999985
39, 0, 0, 0, 0, 110.0, 742, 25715, 39, 1.4232169
40, 0, 0, 0, 0, 355.0, 868, 26583, 40, 1.7061135000000078
41, 0, 0, 0, 0, 30.0, 548, 27131, 41, 1.0908517000000018
42, 0, 0, 0, 0, 145.0, 630, 27761, 42, 1.248611000000011
43, 0, 0, 0, 0, 90.0, 394, 28155, 43, 0.7841724000000028
44, 0, 0, 0, 0, 80.0, 552, 28707, 44, 1.0720660000000066
45, 0, 0, 0, 0, 210.0, 851, 29558, 45, 1.6535034999999993
46, 0, 0, 0, 0, 105.0, 498, 30056, 46, 1.0365666999999945
47, 0, 0, 0, 0, 80.0, 476, 30532, 47, 0.9398856000000109
48, 0, 0, 0, 0, 245.0, 980, 31512, 48, 1.951963500000005
49, 0, 0, 0, 0, 125.0, 491, 32003, 49, 1.0939381000000026
50, 0, 0, 0, 0, 380.0, 786, 32789, 50, 1.5136325
51, 0, 0, 0, 0, 210.0, 787, 33576, 51, 1.6314087000000086
52, 0, 0, 0, 0, 165.0, 688, 34264, 52, 1.463046900000009
53, 0, 0, 0, 0, 210.0, 792, 35056, 53, 1.5777830999999907
54, 0, 0, 0, 0, 35.0, 577, 35633, 54, 1.123398800000004
55, 0, 0, 0, 0, 210.0, 784, 36417, 55, 1.6699475000000064
56, 0, 0, 0, 0, 75.0, 530, 36947, 56, 1.1168220999999932
57, 0, 0, 0, 0, 210.0, 593, 37540, 57, 1.2155746999999906
58, 0, 0, 0, 0, 280.0, 795, 38335, 58, 1.766477199999997
59, 0, 0, 0, 0, 330.0, 1115, 39450, 59, 2.211088899999993
60, 0, 0, 0, 0, 65.0, 493, 39943, 60, 1.0406621999999999
61, 0, 0, 0, 0, 165.0, 759, 40702, 61, 1.5661725000000075
62, 0, 0, 0, 0, 105.0, 496, 41198, 62, 1.0188301000000024
63, 0, 0, 0, 0, 90.0, 655, 41853, 63, 1.4359050999999994
64, 0, 0, 0, 0, 40.0, 495, 42348, 64, 1.063149100000004
65, 0, 0, 0, 0, 100.0, 568, 42916, 65, 1.1762953000000067
66, 0, 0, 0, 0, 100.0, 623, 43539, 66, 1.2765416999999957
67, 0, 0, 0, 0, 75.0, 516, 44055, 67, 1.0652424000000025
68, 0, 0, 0, 0, 65.0, 813, 44868, 68, 1.5938830000000053
69, 0, 0, 0, 0, 95.0, 736, 45604, 69, 1.4098044999999928
70, 0, 0, 0, 0, 45.0, 621, 46225, 70, 1.2344359000000082
